Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2015-01;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;54633;18440;487
2015-01;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;14006;5664;20
2015-01;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;36429;9416;517
2015-01;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;25639;5651;111
2015-01;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;53475;13103;399
2015-01;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;34124;13523;382
2015-01;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;23000;12014;289
2015-01;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;39292;18345;535
2015-02;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;25199;11388;344
2015-02;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;13254;4702;26
2015-02;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;25976;8611;171
2015-02;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;33694;8376;422
2015-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;35345;9055;258
2015-02;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;45722;10951;490
2015-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;33406;12014;282
2015-02;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;31659;10222;273
2015-02;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;30261;13104;392
2015-02;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;54579;20630;848
2015-02;Região não Especificada;Desconhecido | Nacional;;663;;
2015-03;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;27427;12561;337
2015-03;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;28046;10265;200
2015-03;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;59122;30637;502
2015-03;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;25890;15199;214
2015-03;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5695;2872;2
2015-03;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;38303;12639;276
2015-03;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;50831;12688;345
2015-03;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;35892;9111;453
